from_str,to_str,value,from,to
"[(0, 2), (1, 1), (2, 0)]","[(0, 1), (0, 2), (1, 0), (2, 0)]",R,2,1
"[(0, 2), (1, 0), (2, 1)]","[(0, 1), (0, 2), (1, 0), (2, 0)]",R,3,1
"[(0, 1), (1, 2), (2, 0)]","[(0, 1), (0, 2), (1, 0), (2, 0)]",R,4,1
"[(0, 1), (1, 0), (2, 2)]","[(0, 1), (0, 2), (1, 0), (2, 0)]",R,5,1
"[(0, 1), (0, 2), (1, 0), (2, 0)]","[(0, 2), (1, 1), (2, 0)]",C,1,2
"[(1, 1), (2, 2)]","[(0, 2), (1, 1), (2, 0)]",R,6,2
"[(0, 1), (0, 2), (1, 0), (2, 0)]","[(0, 2), (1, 0), (2, 1)]",C,1,3
"[(1, 2), (2, 1)]","[(0, 2), (1, 0), (2, 1)]",R,7,3
"[(0, 1), (0, 2), (1, 0), (2, 0)]","[(0, 1), (1, 2), (2, 0)]",C,1,4
"[(1, 2), (2, 1)]","[(0, 1), (1, 2), (2, 0)]",R,7,4
"[(0, 1), (0, 2), (1, 0), (2, 0)]","[(0, 1), (1, 0), (2, 2)]",C,1,5
"[(1, 1), (2, 2)]","[(0, 1), (1, 0), (2, 2)]",R,6,5
"[(0, 2), (1, 1), (2, 0)]","[(1, 1), (2, 2)]",C,2,6
"[(0, 1), (1, 0), (2, 2)]","[(1, 1), (2, 2)]",C,5,6
"[(0, 2), (1, 0), (2, 1)]","[(1, 2), (2, 1)]",C,3,7
"[(0, 1), (1, 2), (2, 0)]","[(1, 2), (2, 1)]",C,4,7
"[(0, 1), (0, 2), (1, 0), (2, 0)]","[(0, 3), (1, 0), (2, 0)]",C,1,8
"[(1, 3), (2, 0)]","[(0, 3), (1, 0), (2, 0)]",R,10,8
"[(1, 0), (2, 3)]","[(0, 3), (1, 0), (2, 0)]",R,12,8
"[(0, 1), (0, 2), (1, 0), (2, 0)]","[(0, 1), (0, 2), (3, 0)]",C,1,9
"[(0, 2), (3, 1)]","[(0, 1), (0, 2), (3, 0)]",R,11,9
"[(0, 1), (3, 2)]","[(0, 1), (0, 2), (3, 0)]",R,13,9
"[(0, 2), (1, 1), (2, 0)]","[(1, 3), (2, 0)]",C,2,10
"[(0, 1), (1, 2), (2, 0)]","[(1, 3), (2, 0)]",C,4,10
"[(0, 3), (1, 0), (2, 0)]","[(1, 3), (2, 0)]",C,8,10
"[(0, 2), (1, 1), (2, 0)]","[(0, 2), (3, 1)]",C,2,11
"[(0, 2), (1, 0), (2, 1)]","[(0, 2), (3, 1)]",C,3,11
"[(0, 1), (0, 2), (3, 0)]","[(0, 2), (3, 1)]",C,9,11
"[(0, 2), (1, 0), (2, 1)]","[(1, 0), (2, 3)]",C,3,12
"[(0, 1), (1, 0), (2, 2)]","[(1, 0), (2, 3)]",C,5,12
"[(0, 3), (1, 0), (2, 0)]","[(1, 0), (2, 3)]",C,8,12
"[(0, 1), (1, 2), (2, 0)]","[(0, 1), (3, 2)]",C,4,13
"[(0, 1), (1, 0), (2, 2)]","[(0, 1), (3, 2)]",C,5,13
"[(0, 1), (0, 2), (3, 0)]","[(0, 1), (3, 2)]",C,9,13
"[(0, 3), (1, 0), (2, 0)]","[(0, 3), (3, 0)]",C,8,14
"[(0, 1), (0, 2), (3, 0)]","[(0, 3), (3, 0)]",C,9,14
"[(3, 3)]","[(0, 3), (3, 0)]",R,15,14
"[(1, 1), (2, 2)]","[(3, 3)]",C,6,15
"[(1, 2), (2, 1)]","[(3, 3)]",C,7,15
"[(1, 3), (2, 0)]","[(3, 3)]",C,10,15
"[(0, 2), (3, 1)]","[(3, 3)]",C,11,15
"[(1, 0), (2, 3)]","[(3, 3)]",C,12,15
"[(0, 1), (3, 2)]","[(3, 3)]",C,13,15
"[(0, 3), (3, 0)]","[(3, 3)]",C,14,15
